Date,Price,Open,High,Low,Vol.,Change %
23/08/2021,60.56,57.5,60.73,57.5,31.27K,4.85%
20/08/2021,57.76,59.2,59.3,57.52,24.05K,-2.10%
19/08/2021,59,59.8,60,58.13,39.57K,-2.35%
18/08/2021,60.42,61.2,61.8,59.67,28.62K,-1.24%
17/08/2021,61.18,62,62.07,61.03,20.55K,-1.07%
16/08/2021,61.84,62.22,62.45,60.61,21.04K,-1.31%
13/08/2021,62.66,62.9,63.17,62.2,16.23K,-0.76%
12/8/2021,63.14,63.18,63.34,62.44,11.88K,-0.05%
11/8/2021,63.17,62.47,63.25,61.26,23.79K,1.19%
10/8/2021,62.43,61.47,62.79,61.06,25.88K,1.98%
9/8/2021,61.22,61.99,61.99,60.18,32.11K,-2.02%
6/8/2021,62.48,62.56,63.53,62,26.52K,-0.19%
5/8/2021,62.6,61.51,62.64,61.27,22.81K,1.56%
4/8/2021,61.64,62.78,63.12,61.41,36.87K,-1.89%
3/8/2021,62.83,63.09,63.47,61.71,21.44K,-0.08%
2/8/2021,62.88,64.75,64.75,62.26,29.17K,-2.95%
30/07/2021,64.79,64.55,65.07,64.25,19.46K,0.06%
29/07/2021,64.75,63.62,64.77,63.55,20.12K,1.63%
28/07/2021,63.71,63.38,63.95,63.27,18.31K,0.87%
27/07/2021,63.16,63.32,63.67,62.84,13.39K,-0.14%
26/07/2021,63.25,63.32,63.56,62.2,19.70K,0.05%
23/07/2021,63.22,62.93,63.3,62.69,14.71K,0.21%
22/07/2021,63.09,62.2,63.16,61.9,21.08K,1.17%
21/07/2021,62.36,59.91,62.41,59.51,24.68K,3.61%
20/07/2021,60.19,60.01,60.55,58.74,30.37K,0.70%
19/07/2021,59.77,63.06,63.36,59.16,47.12K,-6.27%
16/07/2021,63.77,63.2,63.92,62.53,28.29K,0.76%
15/07/2021,63.29,63.8,63.84,62.69,44.35K,-0.88%
14/07/2021,63.85,64.95,65.21,63.04,31.27K,-1.81%
13/07/2021,65.03,63.92,65.19,63.75,31.51K,1.90%
12/7/2021,63.82,63.77,64.01,62.99,18.56K,0.05%
9/7/2021,63.79,62.76,63.95,62.38,22.85K,1.93%
8/7/2021,62.58,62.09,62.77,61.19,31.64K,0.90%
7/7/2021,62.02,63.2,64.03,61.37,33.44K,-1.34%
6/7/2021,62.86,64.7,65.24,62.53,42.49K,-17.56%
5/7/2021,76.25,75.15,76.4,74.75,,1.48%
4/7/2021,75.14,75.22,75.28,75,,16.08%
2/7/2021,64.73,64.32,64.84,63.96,16.07K,0.33%
1/7/2021,64.52,63.75,65.16,63.63,33.77K,1.18%
30/06/2021,63.77,63.89,64.42,63.47,19.08K,0.14%
29/06/2021,63.68,63.55,64.32,63.09,16.93K,0.02%
28/06/2021,63.67,64.27,64.56,63.43,22.44K,-1.06%
25/06/2021,64.35,63.94,64.35,63.32,32.95K,0.55%
24/06/2021,64,63.75,64.03,63.36,13.83K,0.49%
23/06/2021,63.69,63.32,64.2,63.26,23.83K,0.55%
22/06/2021,63.34,62.85,63.52,62.76,23.51K,0.51%
21/06/2021,63.02,62.16,63.09,61.84,23.98K,1.38%
18/06/2021,62.16,61.72,62.34,61.15,24.30K,0.57%
17/06/2021,61.81,62.69,63.08,60.89,35.15K,-1.97%
16/06/2021,63.05,63.03,63.38,62.68,27.23K,0.25%
15/06/2021,62.89,62.46,63.06,62.24,25.15K,0.79%
14/06/2021,62.4,62.12,62.67,62.11,17.70K,0.14%
11/6/2021,62.31,62.02,62.36,61.72,21.05K,0.19%
10/6/2021,62.19,61.7,62.37,61.11,27.00K,0.18%
9/6/2021,62.08,61.88,62.37,61.57,25.78K,0.11%
8/6/2021,62.01,61.52,62.1,61.03,18.68K,0.88%
7/6/2021,61.47,61.33,61.57,60.8,15.14K,0.16%
4/6/2021,61.37,60.62,61.4,60.51,24.16K,0.84%
3/6/2021,60.86,60.89,61.12,60.36,16.31K,0.00%
2/6/2021,60.86,60.22,60.89,60.22,19.00K,1.10%
1/6/2021,60.2,59.3,60.97,59.17,35.14K,-10.10%
31/05/2021,66.96,66.58,67.41,66.41,,0.56%
30/05/2021,66.59,66.7,66.75,66.53,,12.56%
28/05/2021,59.16,59.66,59.96,59.12,27.29K,-0.89%
27/05/2021,59.69,59.39,59.72,58.99,26.80K,0.44%
26/05/2021,59.43,59.19,59.52,58.8,13.72K,0.35%
25/05/2021,59.22,59.18,59.4,58.82,20.70K,-0.03%
24/05/2021,59.24,57.88,59.35,57.88,16.56K,2.70%
21/05/2021,57.68,56.5,58.02,56.35,21.08K,1.76%
20/05/2021,56.68,57.45,57.75,56.26,27.15K,-1.39%
19/05/2021,57.48,58.73,58.73,56.51,24.76K,-2.68%
18/05/2021,59.06,59.45,59.98,58.07,24.35K,-0.67%
17/05/2021,59.46,59.16,59.53,58.69,21.31K,0.66%
14/05/2021,59.07,58.38,59.2,57.99,24.74K,1.37%
13/05/2021,58.27,59.81,60,57.74,33.84K,-3.33%
12/5/2021,60.28,59.65,60.57,59.29,24.21K,1.28%
11/5/2021,59.52,59.11,59.65,58.39,21.32K,0.76%
10/5/2021,59.07,59,59.58,58.4,20.38K,0.37%
7/5/2021,58.85,58.67,58.91,58.11,16.13K,0.68%
6/5/2021,58.45,58.28,58.97,58.17,19.38K,-0.29%
